Symptom,DangerCorrelation,DangerCoefficient
Cloacal pasting,1.0,1.0259128386336867
Closed eyes,1.0,1.0259128386336867
Clouded cornea,1.0,1.0259128386336867
Clubbed feather,1.0,1.0259128386336867
Colic,1.0,1.0259128386336867
Confusion,1.0,1.0259128386336867
Congestion,1.0,1.0259128386336867
Conjuctivtis,1.0,1.0259128386336867
Conjunctive,1.0,1.0259128386336867
Consistency of milk,1.0,1.0259128386336867
Constant pacing,1.0,1.0259128386336867
Constipation,1.0,1.0259128386336867
Continuous loss of weight,1.0,1.0259128386336867
Convulsion,1.0,1.0259128386336867
Cornea become cloudy,1.0,1.0259128386336867
Corneal ulceration,1.0,1.0259128386336867
Cough,1.0,1.0259128386336867
Coughing,0.963963963963964,0.9889430066108511
Cramps,1.0,1.0259128386336867
Crusting of the skin,1.0,1.0259128386336867
Crusty,1.0,1.0259128386336867
Crusty eye lashes and matting of eyelashes,1.0,1.0259128386336867
Dandruff,1.0,1.0259128386336867
Dandruff in cat coat,1.0,1.0259128386336867
Dark colored bloody,1.0,1.0259128386336867
Dark or black face,1.0,1.0259128386336867
Darkened skin,1.0,1.0259128386336867
Deability,1.0,1.0259128386336867
Death,1.0,1.0259128386336867
Death of lamb,1.0,1.0259128386336867
Decrease appetite,1.0,1.0259128386336867
Decrease in milk production,1.0,1.0259128386336867
Decreased appetite,1.0,1.0259128386336867
Decreased eyelid,1.0,1.0259128386336867
Decreased growth of bone,1.0,1.0259128386336867
Decreased milk,1.0,1.0259128386336867
Decreased stool production,1.0,1.0259128386336867
Decresed egg production,1.0,1.0259128386336867
Defienciency in vitamin,1.0,1.0259128386336867
Dehydration,0.8823529411764706,0.9052172105591353
Dejection,0.5,0.5129564193168433
Depression,0.9545454545454546,0.97928043687761
Despression,1.0,1.0259128386336867
Diarrhea,0.935064935064935,0.9592951218392913
Diarrhea with muscus,1.0,1.0259128386336867
Diarrhoea,1.0,1.0259128386336867
Diffculty breathing,1.0,1.0259128386336867
Difficult in respiration,1.0,1.0259128386336867
Difficult in walking,1.0,1.0259128386336867
Difficultty in breathing,1.0,1.0259128386336867
Difficulty breathing,1.0,1.0259128386336867
Difficulty breating,1.0,1.0259128386336867
Difficulty diagnosis,1.0,1.0259128386336867
Difficulty in breathing,0.9473684210526315,0.9719174260740189
Difficulty in feeding,1.0,1.0259128386336867
Difficulty in rising,1.0,1.0259128386336867
Difficulty in swallowing,1.0,1.0259128386336867
Difficulty in walk,1.0,1.0259128386336867
Difficulty in walking,1.0,1.0259128386336867
Difficulty moving and eating,1.0,1.0259128386336867
Difficulty swallowing,1.0,1.0259128386336867
Difficulty walking,1.0,1.0259128386336867
Diffulty chewing,1.0,1.0259128386336867
Diffulty swallowing,1.0,1.0259128386336867
Diffuse,1.0,1.0259128386336867
Dilation of duodenum,1.0,1.0259128386336867
Diphtherictic,1.0,1.0259128386336867
Dirty,1.0,1.0259128386336867
Discharge,1.0,1.0259128386336867
Discharge from ear,1.0,1.0259128386336867
Discharge from eye,1.0,1.0259128386336867
Discharge from eyes,1.0,1.0259128386336867
Discomfort,1.0,1.0259128386336867
Disharge from affected eye,1.0,1.0259128386336867
Distended chest,1.0,1.0259128386336867
Distended stomach,1.0,1.0259128386336867
Distinctive bumps,1.0,1.0259128386336867
Distress,1.0,1.0259128386336867
Dizzines,1.0,1.0259128386336867
Dizziness,1.0,1.0259128386336867
Dizziness and fainting,1.0,1.0259128386336867
Dribbling of saliva,1.0,1.0259128386336867
Drinking polluted water,1.0,1.0259128386336867
Drooling,1.0,1.0259128386336867
Droopiness,1.0,1.0259128386336867
Drooping ears,1.0,1.0259128386336867
Drooping wings,0.0,0.0
Droopy wings,1.0,1.0259128386336867
Drop in milk production,1.0,1.0259128386336867
Drop on egg production,0.0,0.0
Dry air,1.0,1.0259128386336867
Dry hair coat,1.0,1.0259128386336867
Dry or dull hair,1.0,1.0259128386336867
Dry or tacky gums,1.0,1.0259128386336867
Dry scabs,1.0,1.0259128386336867
Dry skin,1.0,1.0259128386336867
Dull,1.0,1.0259128386336867
Dull ness,1.0,1.0259128386336867
Dullness,1.0,1.0259128386336867
Dysentery,1.0,1.0259128386336867
Dyspnea,1.0,1.0259128386336867
Ear infection,1.0,1.0259128386336867
Easily damage shell,1.0,1.0259128386336867
Edema,1.0,1.0259128386336867
Edema in lower jaw,1.0,1.0259128386336867
Edematous,1.0,1.0259128386336867
Effort to breath,1.0,1.0259128386336867
Egg production decreases,1.0,1.0259128386336867
Egg production stops,1.0,1.0259128386336867
Emaciation,1.0,1.0259128386336867
Endomeritis,1.0,1.0259128386336867
Enlarged lymph nodes,1.0,1.0259128386336867
Enlarged lymph nodes or swelling,1.0,1.0259128386336867
Enlarged skulls,1.0,1.0259128386336867
Enlarged thymus,1.0,1.0259128386336867
Enlargement of bones,1.0,1.0259128386336867
Enteritis,1.0,1.0259128386336867
Epistaxis,0.5,0.5129564193168433
Erythema,1.0,1.0259128386336867
Eventually death,1.0,1.0259128386336867
Excess salivary,1.0,1.0259128386336867
Excess salivation,1.0,1.0259128386336867
Excess sleeping,1.0,1.0259128386336867
Excession salivation,1.0,1.0259128386336867
Excessive blood loss,1.0,1.0259128386336867
Excessive drooling,1.0,1.0259128386336867
Excessive eye watering,1.0,1.0259128386336867
Excessive food intake,1.0,1.0259128386336867
Excessive grooming,1.0,1.0259128386336867
Excessive production,1.0,1.0259128386336867
Excitability,1.0,1.0259128386336867
Exercise in tolerance,1.0,1.0259128386336867
Exessive urination,1.0,1.0259128386336867
Exhaustion,1.0,1.0259128386336867
Experiencing changes in weight,1.0,1.0259128386336867
Extending its neck,1.0,1.0259128386336867
Extension of neck,1.0,1.0259128386336867
Extreme thirst,1.0,1.0259128386336867
Eye and skin change,1.0,1.0259128386336867
Eye become dull,1.0,1.0259128386336867
Eye closed,1.0,1.0259128386336867
Eye discharges,1.0,1.0259128386336867
Eye disharge,1.0,1.0259128386336867
Eye movements,1.0,1.0259128386336867
Eye redness,1.0,1.0259128386336867
Eye ulcer,1.0,1.0259128386336867
Eyeproblem,1.0,1.0259128386336867
Facial defects,1.0,1.0259128386336867
Facial edema,1.0,1.0259128386336867
Facial muscle twitching,1.0,1.0259128386336867
Facial paralysis,1.0,1.0259128386336867
Facial swelling,0.7142857142857143,0.7327948847383476
"Facial swelling,",1.0,1.0259128386336867
Faeces are streake with blood,1.0,1.0259128386336867
Fast breathing,1.0,1.0259128386336867
Fatigue,1.0,1.0259128386336867
Fatique,1.0,1.0259128386336867
Fatty stool,1.0,1.0259128386336867
Feather loss,1.0,1.0259128386336867
Feather plucking,1.0,1.0259128386336867
Feels stiff,1.0,1.0259128386336867
Feline infections,1.0,1.0259128386336867
Fell unwell,1.0,1.0259128386336867
Fetopelvic dispropotion,1.0,1.0259128386336867
Fever,0.9927797833935018,1.018505525719364
Firm,1.0,1.0259128386336867
Flabby,1.0,1.0259128386336867
Flaking of the scutes,1.0,1.0259128386336867
Flaky,1.0,1.0259128386336867
Flank,1.0,1.0259128386336867
Flat ribs,1.0,1.0259128386336867
Flatulence,1.0,1.0259128386336867
Fleece become thin,1.0,1.0259128386336867
Flock moratality,1.0,1.0259128386336867
Floopy muscle,1.0,1.0259128386336867
Fluffed feather,1.0,1.0259128386336867
Fluffed feathers,1.0,1.0259128386336867
Fluif faeces on blood and muscle,1.0,1.0259128386336867
Fluif filled blisters,1.0,1.0259128386336867
Folded ears,1.0,1.0259128386336867
Foot hot,1.0,1.0259128386336867
Formation of vesicles,1.0,1.0259128386336867
Forthy eye,1.0,1.0259128386336867
Foul breath,1.0,1.0259128386336867
Foul smelling,1.0,1.0259128386336867
Foul smelling stools,1.0,1.0259128386336867
Frequent eye infections,1.0,1.0259128386336867
Frequent yawning,1.0,1.0259128386336867
Gagging,1.0,1.0259128386336867
Gas,1.0,1.0259128386336867
Gas or bloating,1.0,1.0259128386336867
Gasc,1.0,1.0259128386336867
Gasping,1.0,1.0259128386336867
Gasping for air,1.0,1.0259128386336867
Gasping for breath,1.0,1.0259128386336867
Gastritis,1.0,1.0259128386336867
General malaise,1.0,1.0259128386336867
Good appetite,1.0,1.0259128386336867
Green dropping,1.0,1.0259128386336867
Greenish diarrhea,0.0,0.0
Greenish-yellow nasal discharge,1.0,1.0259128386336867
Grinding of teeth,1.0,1.0259128386336867
Grinding teeth,1.0,1.0259128386336867
Groosly enlarged,1.0,1.0259128386336867
Grunting,1.0,1.0259128386336867
Gums,1.0,1.0259128386336867
Gurgling sound,1.0,1.0259128386336867
Haemorrhage,1.0,1.0259128386336867
Hair loss,1.0,1.0259128386336867
Hair tining,1.0,1.0259128386336867
Hairy fleeces,1.0,1.0259128386336867
Half-closed eye,1.0,1.0259128386336867
Halitosis,1.0,1.0259128386336867
Hardness,1.0,1.0259128386336867
Head ache,1.0,1.0259128386336867
Head pressing,1.0,1.0259128386336867
Head shking,1.0,1.0259128386336867
Head tilt,1.0,1.0259128386336867
Head tossing,1.0,1.0259128386336867
Headache,1.0,1.0259128386336867
Heat,1.0,1.0259128386336867
Heavy breathing,0.6666666666666666,0.6839418924224577
Heavy infection,1.0,1.0259128386336867
Hematuria,1.0,1.0259128386336867
Hemoglobinuria,1.0,1.0259128386336867
Hemolytic anemia,1.0,1.0259128386336867
Hemopytsis,1.0,1.0259128386336867
Hepatic failure,1.0,1.0259128386336867
Hepatitis,0.0,0.0
High body temperature,1.0,1.0259128386336867
High body temperaure,1.0,1.0259128386336867
High moratality,0.0,0.0
High temperature,1.0,1.0259128386336867
Hind quarted soil,1.0,1.0259128386336867
Hoarseness,1.0,1.0259128386336867
Hock joint,1.0,1.0259128386336867
Holding limbs off the ground,1.0,1.0259128386336867
Horny growth,1.0,1.0259128386336867
Hot joints,1.0,1.0259128386336867
Hot udder,1.0,1.0259128386336867
Hydrophobia,1.0,1.0259128386336867
Hyper sensitivity,1.0,1.0259128386336867
Hyperaestesia,1.0,1.0259128386336867
Hyperesthesia,1.0,1.0259128386336867
Hyperexcitability,1.0,1.0259128386336867
Immediate death,1.0,1.0259128386336867
Inability of swalllon feeding,1.0,1.0259128386336867
Inability to absorb nutrients,1.0,1.0259128386336867
Inability to digest,1.0,1.0259128386336867
Inability to fly,1.0,1.0259128386336867
Inability to jump,1.0,1.0259128386336867
Inability to rise,1.0,1.0259128386336867
Inability to stand,1.0,1.0259128386336867
Inappentence,1.0,1.0259128386336867
Inappetence,1.0,1.0259128386336867
Incoordination,1.0,1.0259128386336867
Increased in breathing,1.0,1.0259128386336867
Increased passing gas,1.0,1.0259128386336867
Indigestion,1.0,1.0259128386336867
Infected navels,1.0,1.0259128386336867
Infection,1.0,1.0259128386336867
Infection of the skin,1.0,1.0259128386336867
Inflamed nostrils,1.0,1.0259128386336867
Inflammation,1.0,1.0259128386336867
Inflammation of eye,1.0,1.0259128386336867
Inflammed eye,1.0,1.0259128386336867
Intellectual disability,1.0,1.0259128386336867
Iris prolapse,1.0,1.0259128386336867
Irritation,1.0,1.0259128386336867
Isolation from flock,1.0,1.0259128386336867
Itches,1.0,1.0259128386336867
Itchiness,1.0,1.0259128386336867
Itching,1.0,1.0259128386336867
Jaundice,1.0,1.0259128386336867
Jaw is dropped,1.0,1.0259128386336867
Jerky limb movements,1.0,1.0259128386336867
Join pains,1.0,1.0259128386336867
Joint pain,1.0,1.0259128386336867
Kick,1.0,1.0259128386336867
Kicking,1.0,1.0259128386336867
Kicking at the belly,1.0,1.0259128386336867
Kid moratality,1.0,1.0259128386336867
Kidney failure,1.0,1.0259128386336867
Labored breathing,0.5,0.5129564193168433
Lack of appetite,1.0,1.0259128386336867
Lack of coordination,1.0,1.0259128386336867
Lack of flying,1.0,1.0259128386336867
Lack of pigmentation,1.0,1.0259128386336867
Lack of vocalizations,1.0,1.0259128386336867
Lack of walking,1.0,1.0259128386336867
Lacrimation,0.5,0.5129564193168433
Lame,1.0,1.0259128386336867
Lameness,1.0,1.0259128386336867
Lameness in affected leg,1.0,1.0259128386336867
Larynx,1.0,1.0259128386336867
Lathargy,1.0,1.0259128386336867
Legness,1.0,1.0259128386336867
Lepatomegaly,1.0,1.0259128386336867
Lesion,0.6,0.615547703180212
Lesions,1.0,1.0259128386336867
Lesions in the nasal cavity,1.0,1.0259128386336867
Lesions on ear,1.0,1.0259128386336867
Lesions on nose,1.0,1.0259128386336867
Less eat,1.0,1.0259128386336867
Less feather growth,1.0,1.0259128386336867
Lession on cat skin,1.0,1.0259128386336867
Lession on the skin,1.0,1.0259128386336867
Lethargy,1.0,1.0259128386336867
Lightheadedness,1.0,1.0259128386336867
Limp,1.0,1.0259128386336867
Limping,1.0,1.0259128386336867
Lip,1.0,1.0259128386336867
Liquid dropping,1.0,1.0259128386336867
Listless,1.0,1.0259128386336867
Listlessness,1.0,1.0259128386336867
Liver disease,1.0,1.0259128386336867
Lllthrift,1.0,1.0259128386336867
Los of the ability to walk,1.0,1.0259128386336867
Loss in weight,1.0,1.0259128386336867
Loss od appetite,1.0,1.0259128386336867
Loss of  appetite,1.0,1.0259128386336867
Loss of activity,1.0,1.0259128386336867
Loss of alertness,1.0,1.0259128386336867
Loss of appetite,0.9615384615384616,0.9864546525323911
Loss of appettite,1.0,1.0259128386336867
Loss of consciousness,1.0,1.0259128386336867
Loss of earing,1.0,1.0259128386336867
Loss of eat,1.0,1.0259128386336867
Loss of eye,1.0,1.0259128386336867
Loss of milk production,1.0,1.0259128386336867
Loss of pigment,1.0,1.0259128386336867
Loss of powder down,1.0,1.0259128386336867
Loss of tail tone,1.0,1.0259128386336867
Loss of vitamin e,1.0,1.0259128386336867
Loss of wool,1.0,1.0259128386336867
Loss of wariness,1.0,1.0259128386336867
Lossened teeth,1.0,1.0259128386336867
Lound breathing,1.0,1.0259128386336867
Lumps,1.0,1.0259128386336867
Lying down,1.0,1.0259128386336867
Lying on the side,1.0,1.0259128386336867
Lymphosarcoma,1.0,1.0259128386336867
Malaise,1.0,1.0259128386336867
Malpresentation,1.0,1.0259128386336867
Mammary glads,1.0,1.0259128386336867
Mild colic,1.0,1.0259128386336867
Mild sneezing,1.0,1.0259128386336867
Mild weakness,1.0,1.0259128386336867
Milk getting out more thick,1.0,1.0259128386336867
Milk getting out more watery,1.0,1.0259128386336867
Milk reduce,1.0,1.0259128386336867
Milky hard,1.0,1.0259128386336867
Misshapen beak,1.0,1.0259128386336867
Moist,1.0,1.0259128386336867
Moist and painfull,1.0,1.0259128386336867
Morbidity,1.0,1.0259128386336867
Mortality,1.0,1.0259128386336867
Mortality varies,1.0,1.0259128386336867
Most often none,1.0,1.0259128386336867
Mouth lesion,1.0,1.0259128386336867
Mucous discharge,1.0,1.0259128386336867
Mucus discharge from the eye,1.0,1.0259128386336867
Mummification,1.0,1.0259128386336867
Muscle aches,1.0,1.0259128386336867
Muscle loss,1.0,1.0259128386336867
Muscle pain,1.0,1.0259128386336867
Muscle stiffness,1.0,1.0259128386336867
Muscle trembling,1.0,1.0259128386336867
Muscle twiching,1.0,1.0259128386336867
Muscle weakness,1.0,1.0259128386336867
Muscles ache,1.0,1.0259128386336867
Muscles problem,1.0,1.0259128386336867
Muscular spasms,1.0,1.0259128386336867
Muscular stiffness,1.0,1.0259128386336867
Muscus,1.0,1.0259128386336867
Nasal,1.0,1.0259128386336867
Nasal bleeding,1.0,1.0259128386336867
Nasal discharge,0.90625,0.9297335100117785
Nause,1.0,1.0259128386336867
Nausea,1.0,1.0259128386336867
Neck paralysis,0.5,0.5129564193168433
Neck vein swelling,1.0,1.0259128386336867
Nervous,1.0,1.0259128386336867
Nervous issue,1.0,1.0259128386336867
Nervousness,1.0,1.0259128386336867
Nesting behaviour,1.0,1.0259128386336867
Neurologic abnormalities,1.0,1.0259128386336867
Neurologic sign,1.0,1.0259128386336867
Nible at their wool,1.0,1.0259128386336867
No appp,1.0,1.0259128386336867
Noisy breathing,1.0,1.0259128386336867
Normal appetite,1.0,1.0259128386336867
Nose bleeds,1.0,1.0259128386336867
Nose picking,1.0,1.0259128386336867
Nosebleed,1.0,1.0259128386336867
Nosebleeds,1.0,1.0259128386336867
Nostrils,1.0,1.0259128386336867
Not eating,1.0,1.0259128386336867
Nuerological,1.0,1.0259128386336867
Obscure lameness,1.0,1.0259128386336867
Obstructed lungs,1.0,1.0259128386336867
Occular discharge,1.0,1.0259128386336867
Ocular discharge,1.0,1.0259128386336867
Odor to ear,1.0,1.0259128386336867
Oedema,1.0,1.0259128386336867
Oral lesion,1.0,1.0259128386336867
Outstretched neck,1.0,1.0259128386336867
Overweight,1.0,1.0259128386336867
Oxygen defiency,1.0,1.0259128386336867
Pain,0.9459459459459459,0.9704580905994333
Pain and bloating,1.0,1.0259128386336867
Pain on face,1.0,1.0259128386336867
Pain on leg,1.0,1.0259128386336867
Painfull,1.0,1.0259128386336867
Painfull swalling,1.0,1.0259128386336867
Painfull to touch,1.0,1.0259128386336867
Pains,1.0,1.0259128386336867
Pains to walk,1.0,1.0259128386336867
Pale comb,1.0,1.0259128386336867
Pale gums,1.0,1.0259128386336867
Panting,1.0,1.0259128386336867
Papules appear on teats anad udder,1.0,1.0259128386336867
Paralysis,1.0,1.0259128386336867
Paralyzed leg,0.0,0.0
Paresis,1.0,1.0259128386336867
Partial paralysis,1.0,1.0259128386336867
Passing of undigested food,1.0,1.0259128386336867
Pawing at bedding,1.0,1.0259128386336867
Pawing at the face or nose,1.0,1.0259128386336867
Periodic vommiting,1.0,1.0259128386336867
Pharyngitis,1.0,1.0259128386336867
Pink eye,1.0,1.0259128386336867
Pnemonia,1.0,1.0259128386336867
Pneumonia,1.0,1.0259128386336867
Polydipsa,1.0,1.0259128386336867
Polyuria,1.0,1.0259128386336867
Poor appetite,1.0,1.0259128386336867
Poor body condition,1.0,1.0259128386336867
Poor coat apperence,1.0,1.0259128386336867
Poor coat condition,1.0,1.0259128386336867
Poor condition,1.0,1.0259128386336867
Poor conformation,1.0,1.0259128386336867
Poor growth,1.0,1.0259128386336867
Poor immune function,1.0,1.0259128386336867
Poor wool,1.0,1.0259128386336867
Pot belly,1.0,1.0259128386336867
Pox lesion,1.0,1.0259128386336867
Pox lession on skin,1.0,1.0259128386336867
Preening,1.0,1.0259128386336867
Production of mucus,1.0,1.0259128386336867
Profuse,1.0,1.0259128386336867
Progressive weakness,1.0,1.0259128386336867
Prostrat,1.0,1.0259128386336867
Pruritis,1.0,1.0259128386336867
Puffed_up feather,1.0,1.0259128386336867
Pulmonary congestion,1.0,1.0259128386336867
Purplish combs,0.0,0.0
Pustulses,1.0,1.0259128386336867
Pyrexia,1.0,1.0259128386336867
Radip onset,1.0,1.0259128386336867
Raised growth or bump,1.0,1.0259128386336867
Rapid breathing,1.0,1.0259128386336867
Rapid heart rate,1.0,1.0259128386336867
Rapid heartbeats,1.0,1.0259128386336867
Rapid pulse and heart rates,1.0,1.0259128386336867
Raw,1.0,1.0259128386336867
Rectal bleeding,1.0,1.0259128386336867
Recumbency,1.0,1.0259128386336867
Red and inflammation ear,1.0,1.0259128386336867
Red diarrhea,1.0,1.0259128386336867
Red eye,1.0,1.0259128386336867
Red lesion from bald patches,1.0,1.0259128386336867
Red on affected area,1.0,1.0259128386336867
Red patches,1.0,1.0259128386336867
Red skin,1.0,1.0259128386336867
Red tinge,1.0,1.0259128386336867
Red-colored,1.0,1.0259128386336867
Redness,1.0,1.0259128386336867
Redness of eye,1.0,1.0259128386336867
Redness of white of the eye,1.0,1.0259128386336867
Redness on ear,1.0,1.0259128386336867
Reduce energy,1.0,1.0259128386336867
Reduce feed,1.0,1.0259128386336867
Reduce growth,1.0,1.0259128386336867
Reduce lamp marking,1.0,1.0259128386336867
Reduce milk,1.0,1.0259128386336867
Reduce reproductive potential,1.0,1.0259128386336867
Reduced appetite,1.0,1.0259128386336867
Regurgitation of food,1.0,1.0259128386336867
Reluctant move,1.0,1.0259128386336867
Relunctance to move,1.0,1.0259128386336867
Relunctance to walk,1.0,1.0259128386336867
Respiratory distress,1.0,1.0259128386336867
Respiratory infection,1.0,1.0259128386336867
Respiratory noise,1.0,1.0259128386336867
Restless movement,1.0,1.0259128386336867
Restlessness,1.0,1.0259128386336867
Retained placenda,1.0,1.0259128386336867
Retarded growth,1.0,1.0259128386336867
Retching,1.0,1.0259128386336867
Rhinitis,1.0,1.0259128386336867
Rhinorrhea,1.0,1.0259128386336867
Ring shaped lesion,1.0,1.0259128386336867
Rough coat,1.0,1.0259128386336867
Rough hair coat,1.0,1.0259128386336867
Roughened,1.0,1.0259128386336867
Round patches,1.0,1.0259128386336867
Rub,1.0,1.0259128386336867
Rubbing eye,1.0,1.0259128386336867
Ruffled appearance,1.0,1.0259128386336867
Ruffled coat,1.0,1.0259128386336867
Ruffled feathers,0.8,0.8207302709069494
Ruminal stasis,0.0,0.0
Rump,1.0,1.0259128386336867
Runny nose,1.0,1.0259128386336867
Salivating,1.0,1.0259128386336867
Salivation,1.0,1.0259128386336867
Scabbing,1.0,1.0259128386336867
Scabs,1.0,1.0259128386336867
Scabs on feet,1.0,1.0259128386336867
Scabs on lip,1.0,1.0259128386336867
Scaly patches of skin,1.0,1.0259128386336867
Scaly skin,1.0,1.0259128386336867
Scartch,1.0,1.0259128386336867
Scartches,1.0,1.0259128386336867
Scartching,1.0,1.0259128386336867
Scartching ear,1.0,1.0259128386336867
Scratches,1.0,1.0259128386336867
Scratching,1.0,1.0259128386336867
Secondary infection,1.0,1.0259128386336867
Seizuers,1.0,1.0259128386336867
Seizures,1.0,1.0259128386336867
Self mutilation,1.0,1.0259128386336867
Self-isolation,1.0,1.0259128386336867
Semen examination,1.0,1.0259128386336867
Sensitive to touch,1.0,1.0259128386336867
Sensitivity to bright light,1.0,1.0259128386336867
Septic arthritis,1.0,1.0259128386336867
Septicemia,1.0,1.0259128386336867
Severe,1.0,1.0259128386336867
Severe colic,1.0,1.0259128386336867
Severe headache,1.0,1.0259128386336867
Severe inflammation,1.0,1.0259128386336867
Severe kerititis,1.0,1.0259128386336867
Severe swellimg,0.0,0.0
Severe weekness and depression,1.0,1.0259128386336867
Shaking head,1.0,1.0259128386336867
Shaking oh head,1.0,1.0259128386336867
Shallow breathing,1.0,1.0259128386336867
Sharp feather,1.0,1.0259128386336867
Sheep often bites,1.0,1.0259128386336867
Shivering,1.0,1.0259128386336867
Shock,1.0,1.0259128386336867
Short stature,1.0,1.0259128386336867
Short term lethargy,1.0,1.0259128386336867
Shortness of breath,1.0,1.0259128386336867
Shortness of breath.,1.0,1.0259128386336867
Shyness or aggression,1.0,1.0259128386336867
Sick,1.0,1.0259128386336867
Sickness,1.0,1.0259128386336867
Signs in ewe,1.0,1.0259128386336867
Signs in rams,1.0,1.0259128386336867
Sinuses,1.0,1.0259128386336867
Size of lesions vary,1.0,1.0259128386336867
Skeleten abnormalities,1.0,1.0259128386336867
Skeleten pain,1.0,1.0259128386336867
Skin color change,1.0,1.0259128386336867
Skin colour change,1.0,1.0259128386336867
Skin infection,1.0,1.0259128386336867
Skin irritation,1.0,1.0259128386336867
Skin issue,1.0,1.0259128386336867
Skin lesion,1.0,1.0259128386336867
Skin may thicken,1.0,1.0259128386336867
Skin rashes,0.9,0.923321554770318
Skin reashes,1.0,1.0259128386336867
Skin ulcer,1.0,1.0259128386336867
Skinallergy,1.0,1.0259128386336867
Sleeping excessively,1.0,1.0259128386336867
Slightly swollen,1.0,1.0259128386336867
Slim over the shell,1.0,1.0259128386336867
Sloughing of the tail,1.0,1.0259128386336867
